,eng.isActive,eng,exc.isActive,exc,lex,str.isActive,str,rel.isActive,rel,int.isActive,int,foc.isActive,foc
0,True,0.578788,False,0.701909,0.0,True,0.277144,True,0.470233,True,0.722702,True,0.328793
1,True,0.725882,False,0.452681,0.0,True,0.418183,True,0.660661,True,0.830857,True,0.424483
2,True,0.610693,False,0.151105,0.0,True,0.404874,True,0.50642,True,0.790308,True,0.513365
3,False,0.697658,False,0.134664,0.0,False,0.398626,False,0.584706,False,0.73847,False,0.411585
4,False,0.528053,False,0.452968,0.0,False,0.375852,False,0.37059,False,0.57792,False,0.41289
5,True,0.461333,False,0.582299,0.0,True,0.255369,True,0.293363,True,0.635988,True,0.401428
6,True,0.591919,False,0.429156,0.0,True,0.323623,True,0.40285,True,0.71497,True,0.309686
7,True,0.679657,False,0.735498,0.0,True,0.368426,True,0.609007,True,0.671331,True,0.292876
8,True,0.670136,False,0.644221,0.0,True,0.749437,True,0.857293,True,0.58625,True,0.477539
9,True,0.636681,False,0.664108,0.0,True,0.49648,True,0.668892,True,0.70222,True,0.474383
10,True,0.746302,False,0.760282,0.0,True,0.454022,True,0.681777,True,0.715375,True,0.490121
11,True,0.714657,False,0.744315,0.0,True,0.414614,True,0.661124,True,0.717925,True,0.275823
12,True,0.746281,False,0.548104,0.0,True,0.410642,True,0.736424,True,0.680875,True,0.127755
13,True,0.593053,False,0.548717,0.0,True,0.575269,True,0.679008,True,0.713626,True,0.213178
14,True,0.630054,False,0.749656,0.0,True,0.800973,True,0.863496,True,0.66928,True,0.552168
