,eng.isActive,eng,exc.isActive,exc,lex,str.isActive,str,rel.isActive,rel,int.isActive,int,foc.isActive,foc
0,True,0.61305,False,0.246646,0.0,True,0.514079,True,0.594562,True,0.332637,True,0.63182
1,True,0.472463,False,0.704481,0.0,True,0.515687,True,0.45365,True,0.494471,True,0.591225
2,True,0.608293,False,0.729322,0.0,True,0.703558,True,0.879506,True,0.5707,True,0.628899
3,True,0.624937,False,0.743009,0.0,True,0.47382,True,0.56281,True,0.76283,True,0.369904
4,True,0.63211,False,0.617692,0.0,True,0.36328,True,0.420026,True,0.526693,True,0.330734
5,True,0.782897,False,0.38897,0.0,True,0.301438,True,0.397109,True,0.41697,True,0.522044
6,True,0.702332,False,0.497674,0.0,True,0.295771,True,0.372131,True,0.562298,True,0.486584
7,True,0.612741,False,0.579004,0.0,True,0.486382,True,0.585616,True,0.681271,True,0.576349
8,True,0.88169,False,0.702844,0.0,True,0.360962,True,0.462628,True,0.608225,True,0.390714
9,True,0.842687,False,0.400488,0.0,True,0.345593,True,0.340555,True,0.398432,True,0.343099
10,True,0.68091,False,0.304741,0.0,True,0.318968,True,0.331917,True,0.510447,True,0.32649
11,True,0.579369,False,0.296814,0.0,True,0.256136,True,0.25089,True,0.588551,True,0.409877
12,True,0.674284,False,0.259581,0.0,True,0.279186,True,0.321932,True,0.532851,True,0.467972
13,True,0.86594,False,0.132312,0.0,True,0.322588,True,0.384711,True,0.514114,True,0.512206
14,True,0.791095,False,0.164397,0.0,True,0.252759,True,0.222454,True,0.624081,True,0.585901
15,True,0.868253,False,0.400794,0.0,True,0.407481,True,0.614264,True,0.570427,True,0.450286
16,True,0.423773,False,0.404192,0.0,True,0.567998,True,0.83499,True,0.936604,True,0.23878
17,True,0.16946,False,0.279384,0.0,True,0.322796,True,0.422485,True,0.709075,True,0.281024
18,True,0.290072,False,0.23818,0.0,True,0.276747,True,0.3581,True,0.697569,True,0.471302
19,True,0.577587,False,0.23783,0.0,True,0.314659,True,0.292117,True,0.476203,True,0.553847
20,True,0.822184,False,0.129369,0.0,True,0.354487,True,0.372475,True,0.430127,True,0.588738
21,True,0.764829,False,0.112127,0.0,True,0.425378,True,0.487298,True,0.397525,True,0.584616
22,True,0.569525,False,0.133288,0.0,True,0.363701,True,0.361773,True,0.477407,True,0.535166
23,True,0.630986,False,0.274926,0.0,True,0.284454,True,0.434114,True,0.466416,True,0.432195
24,True,0.610166,False,0.233219,0.0,True,0.2748,True,0.409176,True,0.433105,True,0.526941
